fecha,provincia,concepto,categoria,valor_real,variacion_interanual_pct,fuente
2020-01,San Juan,Ingresos Brutos,Impuesto provincial,25562929138,,Carga de usuario
2020-01,San Juan,Inmobiliario,Impuesto provincial,1278570577,,Carga de usuario
2020-01,San Juan,Automotor,Impuesto provincial,2036317273,,Carga de usuario
2020-01,San Juan,Sellos,Impuesto provincial,2561924033,,Carga de usuario
2020-01,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2020-01,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2020-01,San Juan,Total,Total recursos provinciales,36265509460,,Carga de usuario
2020-02,San Juan,Ingresos Brutos,Impuesto provincial,21605953540,,Carga de usuario
2020-02,San Juan,Inmobiliario,Impuesto provincial,3027158694,,Carga de usuario
2020-02,San Juan,Automotor,Impuesto provincial,1852089377,,Carga de usuario
2020-02,San Juan,Sellos,Impuesto provincial,2371581889,,Carga de usuario
2020-02,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2020-02,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2020-02,San Juan,Total,Total recursos provinciales,33159494605,,Carga de usuario
2020-03,San Juan,Ingresos Brutos,Impuesto provincial,21643549896,,Carga de usuario
2020-03,San Juan,Inmobiliario,Impuesto provincial,2226789601,,Carga de usuario
2020-03,San Juan,Automotor,Impuesto provincial,3360854939,,Carga de usuario
2020-03,San Juan,Sellos,Impuesto provincial,2078711263,,Carga de usuario
2020-03,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2020-03,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2020-03,San Juan,Total,Total recursos provinciales,31590675565,,Carga de usuario
2020-04,San Juan,Ingresos Brutos,Impuesto provincial,22159412698,,Carga de usuario
2020-04,San Juan,Inmobiliario,Impuesto provincial,2317092823,,Carga de usuario
2020-04,San Juan,Automotor,Impuesto provincial,2831938338,,Carga de usuario
2020-04,San Juan,Sellos,Impuesto provincial,1689259631,,Carga de usuario
2020-04,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2020-04,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2020-04,San Juan,Total,Total recursos provinciales,32893143769,,Carga de usuario
2020-05,San Juan,Ingresos Brutos,Impuesto provincial,20011622754,,Carga de usuario
2020-05,San Juan,Inmobiliario,Impuesto provincial,2078002527,,Carga de usuario
2020-05,San Juan,Automotor,Impuesto provincial,6698701268,,Carga de usuario
2020-05,San Juan,Sellos,Impuesto provincial,1804933954,,Carga de usuario
2020-05,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2020-05,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2020-05,San Juan,Total,Total recursos provinciales,34823170543,,Carga de usuario
2020-06,San Juan,Ingresos Brutos,Impuesto provincial,20391809106,,Carga de usuario
2020-06,San Juan,Inmobiliario,Impuesto provincial,1463276977,,Carga de usuario
2020-06,San Juan,Automotor,Impuesto provincial,3628520139,,Carga de usuario
2020-06,San Juan,Sellos,Impuesto provincial,2269596169,,Carga de usuario
2020-06,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2020-06,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2020-06,San Juan,Total,Total recursos provinciales,31914324277,,Carga de usuario
2020-07,San Juan,Ingresos Brutos,Impuesto provincial,21217653296,,Carga de usuario
2020-07,San Juan,Inmobiliario,Impuesto provincial,1410503699,,Carga de usuario
2020-07,San Juan,Automotor,Impuesto provincial,3651990660,,Carga de usuario
2020-07,San Juan,Sellos,Impuesto provincial,2064633891,,Carga de usuario
2020-07,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2020-07,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
2020-07,San Juan,Total,Total recursos provinciales,32553611119,,Carga de usuario
2020-08,San Juan,Ingresos Brutos,Impuesto provincial,21413848365,,Carga de usuario
2020-08,San Juan,Inmobiliario,Impuesto provincial,1405168010,,Carga de usuario
2020-08,San Juan,Automotor,Impuesto provincial,3199220291,,Carga de usuario
2020-08,San Juan,Sellos,Impuesto provincial,2258865932,,Carga de usuario
2020-08,San Juan,DJ,Otros recursos provinciales,0,,Carga de usuario
2020-08,San Juan,Otros impuestos,Otros recursos provinciales,0,,Carga de usuario
